
---------- Begin Simulation Statistics ----------
system.cpu.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::Bf16Cvt                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::System                 0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::total          349494207                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.393295                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             6195110                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.017726                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                882371144                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               366334500                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       308428175                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  40273214                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                 24853278                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses         18592212                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                 33432497                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                16055473                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses        13790496                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   316893005                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     20670565                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                    17575045                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                      110284138                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                 490737460                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         1.96                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       4.45                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.44                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                   4566925                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1293                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           81379                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads       77100528                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      41451568                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     21245118                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores     14515794                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.bac.fetchTargets                         0                       # Number of fetch targets created  (Count)
system.cpu.bac.branches                      60822458                       # Number of branches that BAC encountered (Count)
system.cpu.bac.predTakenBranches             34823370                       # Number of branches that BAC predicted taken. (Count)
system.cpu.bac.branchesNotLastuOp                   0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpu.bac.branchMisspredict              1867567                       # Number of mispredicted branches (Count)
system.cpu.bac.noBranchMisspredict              43090                       # Number of non-branch instructions mispredicted (Count)
system.cpu.bac.squashBranchDecode               12639                       # Number of branches squashed from decode (Count)
system.cpu.bac.squashBranchCommit             1854928                       # Number of branches squashed from commit (Count)
system.cpu.bac.preDecUpdate::NoBranch               0                       # Number of branches extracted from the predecoder (Count)
system.cpu.bac.preDecUpdate::Return                 0                       # Number of branches extracted from the predecoder (Count)
system.cpu.bac.preDecUpdate::CallDirect             0                       # Number of branches extracted from the predecoder (Count)
